"CWE-79" 78 42
"CWE-20" 68 28
"CWE-89" 71 31
"CWE-22" 73 29
"CWE-787" 72 23
"CWE-125" 63 30
"CWE-352" 65 25
"CWE-416" 58 16
"CWE-190" 50 18
"CWE-78"  55 10
